trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A29-A4433-1-18-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-40-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-8-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-12-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A57-A141-5-15-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5756039780360,A141,0,0
A29-A4434-1-35-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-9-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-19-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A99-A3861-2-2-12457803130,A99,12457803130,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99212457803130,A3861,0,0
A29-A4434-1-27-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-37-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-23-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-15-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-3-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4433-1-32-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-14-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-26-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4434-1-33-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4433-1-28-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A32-A4403-2-28-8960425741,A32,8960425741,БАЛКАН СТАР,,,A3228960425741,A4403,0,0
A29-A4434-1-53-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4433-1-52-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A99-A3861-4-2-12457803130,A99,12457803130,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99412457803130,A3861,0,0
A29-A4433-1-50-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-16-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-54-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A77-A1725-5-4-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A1725,0,0
A29-A4433-1-38-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4433-1-42-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A29-A4434-1-47-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A32-A4403-1-26-25703084710,A32,25703084710,БАЛКАН СТАР,,,A32125703084710,A4403,0,0
A29-A4433-1-24-41999864730,A29,41999864730,КВ. КАРПУЗИЦА,,,A29141999864730,A4433,0,0
A224-A4229-1-5-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22413256270690,A4229,0,0
A29-A4434-1-29-24638558591,A29,24638558591,КВ. ОВЧА КУПЕЛ,,,A29124638558591,A4434,0,0
A32-A4403-1-25-8960425741,A32,8960425741,БАЛКАН СТАР,,,A3218960425741,A4403,0,0
A29-A4433-2-42-24638558591,A29,24638558591,КВ. КАРПУЗИЦА,,,A29224638558591,A4433,0,0
A29-A4434-1-41-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A29-A4434-1-11-41999864730,A29,41999864730,КВ. ОВЧА КУПЕЛ,,,A29141999864730,A4434,0,0
A77-A2544-5-24-20602448631,A77,20602448631,МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ,,,A77520602448631,A2544,0,0
A77-A1725-6-23-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77620602448631,A1725,0,0
A77-A1725-3-5-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A77-A3578-1-4-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77120602448631,A3578,0,0
A241-A4442-2-24-30487352530,A241,30487352530,ПЛ. ОРЛОВ МОСТ,,,A241230487352530,A4442,0,0
A224-A4230-1-6-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22413256270691,A4230,0,0
A241-A4442-3-2-30487352530,A241,30487352530,ПЛ. ОРЛОВ МОСТ,,,A241330487352530,A4442,0,0
A241-A4442-2-2-30487352530,A241,30487352530,ПЛ. ОРЛОВ МОСТ,,,A241230487352530,A4442,0,0
A224-A4230-2-5-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22423256270690,A4230,0,0
A224-A4229-1-3-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22413256270691,A4229,0,0
A224-A4230-1-6-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22413256270690,A4230,0,0
A224-A4229-2-6-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22423256270691,A4229,0,0
A241-A4441-2-19-30487352530,A241,30487352530,Ж.К. ЛЕВСКИ Г,,,A241230487352530,A4441,0,0
A241-A4442-3-6-30487352530,A241,30487352530,ПЛ. ОРЛОВ МОСТ,,,A241330487352530,A4442,0,0
